Elorriaga,Osvaldo Enrique,,2011-2015,8/10/1959
Erro,Norberto Pedro,Unión Cívica Radical,2007-2011,9/12/1952
Espíndola,Gladys Susana,Unión Cívica Radical,2009-2013,7/14/1960
Fabris,Luciano Rafael,Unión Cívica Radical,2005-2009,3/20/1955
Fadel Merino,Patricia Susana,Frente para la Victoria - PJ,2007-2011,12/28/1957
Fadul Mora,Liliana,Partido Federal Fueguino,2009-2013,5/2/1955
Faustinelli,Hipólito,Unión Cívica Radical,2009-2013,9/7/1959
Favario,Carlos Alberto,Demócrata Progresista,2009-2013,9/7/1938
Fein,Mónica Hayde,Partido Socialista,2007-2011,6/3/1957
Feletti,Roberto José,,2011-2015,10/22/1958
Félix,Omar Chafí,Frente para la Victoria - PJ,2009-2013,6/30/1960
Fellner,Eduardo Alfredo,Frente para la Victoria - PJ,2007-2011,6/12/1954
Fernández,Marcelo Omar,Frente para la Victoria - PJ,2005-2009,11/22/1960
Fernández,Rodolfo Alfredo,Unión Cívica Radical,2009-2013,8/26/1954
Fernández Basualdo,Luis María,Frente para la Victoria - PJ,2007-2011,3/29/1948
Fernández Sagasti,Anabel,,2011-2015,4/3/1984
Fernández Sagasti,Anabel,,2011-2015,4/3/1984
Ferrá de Bartol,Margarita,Frente para la Victoria - PJ,2005-2009,7/12/1935
Ferrá de Bartol,Margarita,Frente para la Victoria - PJ,2009-2013,7/12/1935
Ferrari,Gustavo Alfredo Horacio,Peronismo Federal,2009-2013,3/24/1957
Ferreyra,Araceli,,2011-2015,10/7/1966
Ferro,Francisco José,Coalición Cívica - Ari,2005-2009,7/26/1953
Fiad,Mario Raymundo,Unión Cívica Radical,2009-2013,1/12/1957
Fiol,Paulina Esther,Frente para la Victoria - PJ,2007-2011,11/23/1943
Fiore Viñuales,María Cristina,,2011-2015,2/16/1974
Flores,Héctor Antonio,Coalición Cívica - Ari,2007-2011,12/8/1953
Forconi,Juan Carlos,Peronismo Federal,2009-2013,9/27/1951
Forte,Ulises Umberto,Unión Cívica Radical,2009-2013,11/30/1962
Fortuna,Francisco José,Córdoba Federal,2009-2013,9/24/1952
Francioni,Fabián Marcelo,,2011-2015,11/22/1966
Galantini,Eduardo Leonel,Frente para la Victoria - PJ,2005-2009,3/17/1958
Gallardo,Miriam Graciela,Frente para la Victoria - PJ,2009-2013,10/13/1963
Galvalisi,Luis Alberto,Propuesta Republicana,2005-2009,4/9/1961
Gambaro,Natalia,Peronismo Federal,2009-2013,9/1/1977
García,Susana Rosa,Coalición Cívica - Ari,2007-2011,8/4/1945
García,María Teresa,Frente para la Victoria - PJ,2005-2009,2/9/1956
García,María Teresa,Frente para la Victoria - PJ,2009-2013,2/9/1956
García,Irma Adriana,Peronismo Federal,2007-2011,6/16/1964
García de Moreno,Eva,Frente para la Victoria - PJ,2005-2009,12/2/1945
García Larraburu,Silvina Marcela,,2011-2015,1/16/1969
García Méndez,Emilio Arturo,Afirmación para una República Igualitaria,2005-2009,8/22/1950
Gardella,Patricia Susana,Corriente de Pensamiento Federal,2007-2011,4/6/1964
Garnero,Estela Ramona,Córdoba Federal,2009-2013,10/11/1958
Garramuño,Jorge Alberto,,2011-2015,9/14/1953
Garrido,Manuel,Unión Cívica Radical,2011-2015,9/15/1964
Gdansky,Carlos Enrique,,2011-2015,9/5/1946
Genem,Amanda Susana,Frente para la Victoria - PJ,2005-2009,2/28/1965
Gerez,Elda Ramona,Partido Socialista,2005-2009,4/28/1942
Germano,Daniel,Peronismo Federal,2009-2013,2/23/1951
Giaccone,Claudia Alejandra,,2011-2015,8/26/1965
Giacomino,Daniel Oscar,,2011-2015,6/28/1964
Giannettasio,Graciela María,Frente para la Victoria - PJ,2007-2011,10/20/1950
Giannettasio,Graciela María,,2011-2015,10/20/1950
Gil Lavedra,Ricardo Rodolfo,Unión Cívica Radical,2009-2013,7/24/1949
Gil Lozano,Claudia Fernanda,Coalición Cívica - Ari,2007-2011,5/25/1958
Ginzburg,Nora Raquel,Fte. por los Derechos Ciudadanos,2005-2009,4/6/1949
Gioja,Juan Carlos,Frente para la Victoria - PJ,2007-2011,4/1/1957
Giubergia,Miguel Ángel,Unión Cívica Radical,2007-2011,4/17/1953
Giubergia,Miguel Ángel,,2011-2015,4/17/1953
Giudici,Silvana Myriam,Unión Cívica Radical,2007-2011,4/19/1965
Godoy,Ruperto Eduardo,Frente para la Victoria - PJ,2007-2011,3/13/1953
González,María América,Afirmación para una República Igualitaria,2005-2009,6/7/1948
González,Nancy Susana,Frente para la Victoria - PJ,2009-2013,2/10/1961
González,Juan Dante,Frente para la Victoria - PJ,2007-2011,1/27/1963
González,Nancy Susana,Frente para la Victoria - PJ,2005-2009,2/10/1961
González,Gladys Esther,Propuesta Republicana,2009-2013,5/30/1973
González,Juan Dante,,2011-2015,1/27/1963
Gorbacz,Leonardo Ariel,Afirmación para una República Igualitaria,2005-2009,10/18/1966
Granados,Dulce,Frente para la Victoria - PJ,2009-2013,9/14/1958
Gribaudo,Christian Alejandro,Propuesta Republicana,2007-2011,4/4/1973
Grosso,Leonardo,,2011-2015,4/1/1983
Guccione,José Daniel,,2011-2015,2/11/1952
Gullo,Juan Carlos Dante,Frente para la Victoria - PJ,2007-2011,6/8/1947
Gutiérrez,Graciela Beatriz,Frente para la Victoria - PJ,2005-2009,7/14/1961
Gutiérrez,Mónica Edith,,2011-2015,
Gutiérrez,Mónica Edith,,2011-2015,
Guzmán,Olga Elizabeth,Movimiento Popular Neuquino,2009-2013,3/17/1963
Halak,Beatriz Susana,Frente para la Victoria - PJ,2005-2009,5/15/1950
Harispe,Gastón,,2011-2015,12/29/1968
Heller,Carlos Salomón,Nuevo Encuentro,2009-2013,10/17/1940
Heredia,Arturo Miguel,Frente para la Victoria - PJ,2005-2009,9/21/1944
Herrera,José Alberto,Frente Cívico por Santiago,2007-2011,5/10/1962
Herrera,Griselda Noemí,Frente para la Victoria - PJ,2005-2009,
Herrera,Alberto,Frente para la Victoria - PJ,2005-2009,3/27/1927
Herrera,Griselda Noemí,,2011-2015,
Herrera,José Alberto,,2011-2015,5/10/1962
Hotton,Cynthia Liliana,Valores para mi País,2007-2011,1/17/1969
Ianni,Ana María,,2011-2015,9/21/1969
Ianni,Ana María,,2011-2015,9/21/1969
Ibarra,Vilma Lidia,Nuevo Encuentro,2007-2011,5/21/1960
Ibarra,Eduardo Mauricio,Peronismo Federal,2009-2013,6/14/1970
Iglesias,Fernando Adolfo,Coalición Cívica - Ari,2007-2011,5/14/1957
Illarregui,Luis Alfredo,Frente para la Victoria - PJ,2005-2009,
Irrazábal,Juan Manuel,Frente para la Victoria - PJ,2007-2011,3/30/1960
Iturraspe,Nora Graciela,Solidaridad e Igualdad por la Unidad Popular,2009-2013,3/20/1951
Iturrieta,Miguel Ángel,Frente para la Victoria - PJ,2005-2009,5/1/1956
Junio,Juan Carlos,,2011-2015,4/26/1947
Juri,Mariana,Unión Cívica Radical,2009-2013,3/24/1969
Kakubur,Emilio,Dignidad Peronista,2005-2009,3/16/1957
Katz Jora,Daniel,Unión Cívica Radical,2007-2011,7/4/1960
Kenny,Eduardo Enrique Federico,Unión Cívica Radical,2007-2011,6/28/1951
Kirchner,Néstor Carlos,Frente para la Victoria - PJ,2009-2013,2/25/1950
Korenfeld,Beatriz Liliana,Frente para la Victoria - PJ,2007-2011,8/16/1953
Kosiner,Pablo Francisco Juan,,2011-2015,10/21/1964
Kroneberger,Daniel Ricardo,Unión Cívica Radical,2005-2009,6/12/1961
Kroneberger,Daniel Ricardo,,2011-2015,6/12/1961
Kunkel,Carlos Miguel,Frente para la Victoria - PJ,2005-2009,11/6/1945
Kunkel,Carlos Miguel,Frente para la Victoria - PJ,2009-2013,11/6/1945
Lanceta,Rubén Orfel,Unión Cívica Radical,2007-2011,7/23/1957
Landau,Jorge Alberto,Frente para la Victoria - PJ,2007-2011,3/23/1947
